,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,Bank of Chin,136.81,109.45,127.23,11348.39
1,China Construction Ban,139.82,111.86,130.03,11598.07
2,Morgan Stanle,140.83,112.66,130.97,11681.85
3,HSBC Holdings PL,148.90,119.12,138.48,12351.26
4,Wells Farg,155.87,124.7,144.96,12929.42
5,HDFC Ban,157.91,126.33,146.86,13098.63
6,Agricultural Bank of Chin,160.68,128.54,149.43,13328.41
7,Industrial and Commercial Bank of Chin,194.56,155.65,180.94,16138.75
8,Bank of Americ,231.52,185.22,215.31,19204.58
9,JPMorgan Chas,432.92,346.34,402.62,35910.71
